AoA,M0.6_CN-ALPHA,M1.0_CN-ALPHA,M1.5_CN-ALPHA,M2.3_CN-ALPHA,M4.63_CN-ALPHA
-8.0,,,,,
-7.9,,,,,
-7.8,,,,,
-7.7,,,,,
-7.6,,,,,
-7.5,,,,,
-7.4,,,,,
-7.3,,,,,
-7.2,,,,,
-7.1,,,,,
-7.0,,,,,
-6.9,,,,,
-6.8,,,,,
-6.7,,,,,
-6.6,,,,,
-6.5,,,,,
-6.4,,,,,
-6.3,,,,,
-6.2,,,,,
-6.1,,,,,
-6.0,,,,,
-5.9,,,,,
-5.8,,,,,
-5.699999999999999,,,,,
-5.6,,,,,
-5.5,,,,,
-5.4,,,,,
-5.3,,,,,
-5.199999999999999,,,,,
-5.1,,,,,
-5.0,,,,,
-4.9,,,,,
-4.8,,,,,
-4.699999999999999,,,,,
-4.6,,,,,
-4.5,,,,,
-4.4,,,,,-0.25792203303271627
-4.3,,,,,-0.23746902526031008
-4.199999999999999,,,,-0.21071461114356518,-0.21857436476165018
-4.1,,,,-0.20591848446281366,-0.20116417497976308
-4.0,,,-0.12754826840787867,-0.20090627115247736,-0.18516457935767483
-3.8999999999999995,,,-0.11534077584657829,-0.19569331830408937,-0.17050170133841164
-3.8,,,-0.10437622499961827,-0.1902949730091829,-0.15710166436500012
-3.7,,,-0.09458840126440624,-0.1847265823592911,-0.14489059188046632
-3.5999999999999996,,,-0.0859110900383499,-0.17900349344594707,-0.13379460732783655
-3.5,,,-0.07827807671885716,-0.17314105336068403,-0.12373983415013724
-3.3999999999999995,,,-0.07162314670333562,-0.16715460919503505,-0.11465239579039455
-3.3,,,-0.06588008538919317,-0.16105950804053334,-0.10645841569163493
-3.1999999999999993,,,-0.06098267817383745,-0.15487109698871196,-0.09908401729688451
-3.0999999999999996,,-0.052323606455759224,-0.05686471045467631,-0.1486047231311042,-0.09245532404916973
-3.0,-0.21212121212121215,-0.04652533760395113,-0.05345996762911745,-0.14227573355924317,-0.0864984593915168
-2.8999999999999995,-0.21033870045038822,-0.04083210854262091,-0.0507022350945686,-0.1358994753646619,-0.08113954676695198
-2.8,-0.20815820050223202,-0.03524968308520469,-0.0485252982484376,-0.12949129563889367,-0.07630470961850172
-2.6999999999999993,-0.2056052995338426,-0.02978382504513838,-0.046862942488132116,-0.12306654147347153,-0.07192007138919213
-2.5999999999999996,-0.20270558480231915,-0.024440298235858107,-0.04564895321105995,-0.11664055995992872,-0.06791175552204971
-2.5,-0.1994846435647608,-0.019224866470799837,-0.04481711581462887,-0.1102286981897984,-0.06420588546010059
-2.3999999999999995,-0.1959680630782667,-0.014143293563399563,-0.044301215696246586,-0.10384630325461355,-0.06072858464637114
-2.3,-0.19218143059993592,-0.009201343327093381,-0.04403503825332087,-0.09750872224590754,-0.05740597652388765
-2.1999999999999993,-0.18815033338686762,-0.004404779575317226,-0.04395236888325947,-0.09123130225521334,-0.05416418453567638
-2.0999999999999996,-0.18390035869616095,0.00024063387849278822,-0.04398699298347014,-0.08502939037406422,-0.0509293321247637
-2.0,-0.17945709378491503,0.004729133220900686,-0.04407269595136072,-0.0789183336939933,-0.04762754273417585
-1.8999999999999995,-0.1748461259102289,0.009054954638470482,-0.04414326318433883,-0.07291347930653365,-0.044184939806939126
-1.7999999999999998,-0.1700930423292019,0.01321233431776608,-0.044132480079812304,-0.06703017430321853,-0.04052764678607987
-1.6999999999999993,-0.1652234302989329,0.017195508445351535,-0.043974132035188865,-0.061283765775581,-0.03658178711462431
-1.5999999999999996,-0.1602628770765213,0.020998713207790745,-0.04360200444787629,-0.055689600815154304,-0.03227348423559883
-1.5,-0.155236969919066,0.024616184791647733,-0.04294988271528232,-0.05026302651347153,-0.027528861592029684
-1.3999999999999995,-0.1501712960836662,0.028042159383486503,-0.041951552234814705,-0.04501938996206578,-0.022274042626943127
-1.2999999999999998,-0.14509144282742112,0.031270873169870976,-0.04054079840388122,-0.03997403825247031,-0.01643515078336554
-1.1999999999999993,-0.14002299740742977,0.034296562337365194,-0.03865140661988959,-0.035142318476218175,-0.009950488423237468
-1.0999999999999996,-0.13499154708079136,0.03711346307253306,-0.03621716228024761,-0.030539577724842597,-0.0028887469367614334
-1.0,-0.130022679104605,0.039715811561938597,-0.033171850782363003,-0.026178721039156635,0.004602286296971028
-0.8999999999999995,-0.12514198073596974,0.042097843992145806,-0.029449257523643503,-0.022028813765446853,0.01237371409488233
-0.7999999999999998,-0.12037503923198489,0.04425379654971862,-0.02501486251442509,-0.01802100108641886,0.020276639273894677
-0.6999999999999993,-0.11574744184974937,0.046177905421221056,-0.019964462169388325,-0.014085177854809467,0.028162164650930552
-0.5999999999999996,-0.11128477584636248,0.04786440679321703,-0.014427341036238741,-0.010151238923355605,0.03588139304291216
-0.5,-0.10701262847892329,0.04930753685227059,-0.008532783687841931,-0.006149079144794109,0.0432854272667619
-0.39999999999999947,-0.10295658700453086,0.0505015317849457,-0.0024100746970634906,-0.0020085933718618195,0.05022537013940219
-0.2999999999999998,-0.09914223868028442,0.0514406277778063,0.003811501363230832,0.0023403235427043277,0.05655232447775524
-0.1999999999999993,-0.09559517076328305,0.0521190610174164,0.010002659920175504,0.006967776746167535,0.062138345834141795
-0.09999999999999964,-0.09234097051062592,0.05253106769033998,0.016034116400904772,0.011943871385790849,0.06703270448639263
0.0,-0.08940393783189474,0.052671949419537865,0.02177658623255304,0.01733312684591327,0.0713737788706572
0.09999999999999964,-0.08678212490813886,0.052558731010666514,0.027100784842254685,0.023099786894858997,0.07530062236563198
0.20000000000000107,-0.0844490779730664,0.05222871891663301,0.03188248359674783,0.029121359574265804,0.07895228835001357
0.3000000000000007,-0.08237740478404534,0.05171999629347777,0.03609791899911595,0.03527249301515394,0.08246783020249834
0.40000000000000036,-0.08053971309844357,0.0510706462972412,0.03981571770189175,0.04142783534854401,0.08598630130178286
0.5,-0.07890861067362899,0.05031875208396371,0.04310794374456698,0.04746203470545647,0.08964675502656362
0.5999999999999996,-0.07745670526696953,0.04950239680968571,0.046046661166633404,0.0532497392169118,0.09358824475553716
0.7000000000000011,-0.0761566046358331,0.04865966363044759,0.04870393400758281,0.05866559701393057,0.09794982386740002
0.8000000000000007,-0.07498091653758764,0.04782863570228978,0.05115182630690685,0.0635842562275331,0.102869838043776
0.9000000000000004,-0.07390224872960109,0.0470473961812527,0.053462402104097355,0.06788036498873991,0.10841945012212631
1.0,-0.07289320896924133,0.046354028223376725,0.05570772543864606,0.07142857142857151,0.11454824832328442
1.0999999999999996,-0.0719264050138763,0.04578661498470229,0.05795986035004472,0.07415103936678691,0.1211930201208398
1.200000000000001,-0.0709744446208739,0.04538323962126977,0.06028827381040167,0.07615999537809924,0.1282905529883821
1.3000000000000007,-0.07000993554760208,0.04518198528911961,0.06272701992229603,0.07761518172596012,0.13577763439950058
1.4000000000000004,-0.06900548555142876,0.04522093514429221,0.06528455382734065,0.07867634067382125,0.1435910518277849
1.5,-0.06793370238972184,0.04553817234282796,0.06796876141058059,0.07950321448513425,0.1516675927468245
1.6000000000000014,-0.06676719381984922,0.04617178004076731,0.07078752855706094,0.08025554542335084,0.15994404463020914
1.700000000000001,-0.06547856759917887,0.047159841394150616,0.07374874115182667,0.08109307575192261,0.16835719495152796
1.8000000000000007,-0.06404043148507871,0.04854043955901831,0.07686028507992283,0.08217554773430123,0.17684437305593526
1.9000000000000004,-0.06242539323491661,0.0503516576914108,0.08013004622639451,0.08366270363393839,0.1853728840816713
2.0,-0.06060606060606055,0.052631578947368474,0.0835659104762867,0.08571428571428574,0.19395509303880804
2.1000000000000014,-0.0585593208312113,0.055408303208865826,0.08717576371464456,0.08845706576340132,0.20260708163447966
2.200000000000001,-0.05627917904440141,0.05866999726161315,0.09096665459545868,0.09188593366776826,0.21134493157581985
2.3000000000000007,-0.0537639198549963,0.06239484461725489,0.09493744387100063,0.0959628088384763,0.22018472456996288
2.4000000000000004,-0.05101182787236138,0.06656102878743547,0.09908236141175959,0.100649610686615,0.2291425423240427
2.5,-0.048021187705862035,0.07114673328379932,0.10339558452928427,0.105908258623274,0.23823446654519342
2.6000000000000014,-0.044790283964863654,0.07613014161799089,0.10787129053512334,0.111700672059543,0.2474765789405492
2.700000000000001,-0.041317401258731755,0.08148943730165444,0.11250365674082535,0.11798877040651141,0.25688496121724375
2.8000000000000007,-0.037600824196831695,0.08720280384643446,0.11728686045793905,0.12473447307526894,0.26647569508241126
2.9000000000000004,-0.033638837388528894,0.09324842476397535,0.12221507899801311,0.13189969947690522,0.2762648622431858
3.0,-0.029429725443188767,0.09960448356592153,0.12728248967259614,0.13944636902250987,0.28626854440670135
3.1000000000000014,-0.024971772970176654,0.10624916376391756,0.13248326979323696,0.1473364011231726,0.29650282328009225
3.200000000000001,-0.020263264578858124,0.11316064886960753,0.13781159667148407,0.15553171518998277,0.306983780570492
3.3000000000000007,-0.015302484878598508,0.12031712239463603,0.14326164761888613,0.16399423063403012,0.31772749798503497
3.4000000000000004,-0.010087718478763236,0.12769676785064749,0.14882759994699193,0.1726858668664043,0.32875005723085515
3.5,-0.004617249988717722,0.13527776874928624,0.15450363096735006,0.18156854329819488,0.3400675400150866
3.6000000000000014,0.0011106359821727336,0.14303830860219688,0.1602839179915093,0.19060417934049165,0.3516960280448634
3.700000000000001,0.007097654824542502,0.15095657092102352,0.16616263833101813,0.19975469440438393,0.36365160302731936
3.8000000000000007,0.013345521929026268,0.15901073921741074,0.17213396929742528,0.20898200790096141,0.3759503466695887
3.9000000000000004,0.019855952686258626,0.1671789970030029,0.17819208820227944,0.21824803924131375,0.388605093486591
4.0,0.026630662486874148,0.17543952778944447,0.1843311723571293,0.2275147078365306,0.40161269460806587
4.100000000000001,0.03367104359918985,0.18377051508837994,0.19054539907352364,0.2367439330977017,0.4149650916889217
4.200000000000001,0.040970050765541874,0.19215348726786946,0.19683011297087594,0.24589795127407085,0.42865422506427053
4.300000000000001,0.048511601497902394,0.2005856445412354,0.203186990083942,0.2549580089041541,0.4426720350692251
4.4,0.056279170067752744,0.20906877310806588,0.20961984298629624,0.2639348184748382,0.4570104620388978
4.5,0.06425623074657433,0.21760465974148396,0.21613248590227785,0.27284162717824645,0.4716614463084011
4.600000000000001,0.0724262578058486,0.22619509121461293,0.22272873305622623,0.28169168220650204,0.4866169282128478
4.700000000000001,0.08077272551705668,0.23484185430057564,0.2294123986724805,0.2904982307517278,0.5018688480873498
4.800000000000001,0.08927910815168005,0.24354673577249533,0.23618729697538,0.29927452000604704,0.51740914626702
4.9,0.09792887998120009,0.25231152240349514,0.24305724218926403,0.30803379716158286,0.5332297630869707
5.0,0.10670551527709814,0.2611380009666982,0.2500260485384718,0.3167893094104584,0.5493226388823145
5.100000000000001,0.11559248831085572,0.27002795823522774,0.25709753024734283,0.3255543039447969,0.5656797139881639
5.200000000000001,0.12457327335395388,0.27898318098220665,0.2642755015402161,0.3343420279567212,0.5822929287396312
5.300000000000001,0.13363134467787416,0.2880054559807581,0.27156377664143105,0.3431657286383546,0.599154223471829
5.4,0.14275017655409789,0.29709657000400536,0.2789661697753269,0.35203865318182026,0.6162555385198697
5.5,0.15191324325410643,0.30625830982507135,0.2864864951662429,0.3609740487792412,0.6335888142188658
5.600000000000001,0.16110401904938138,0.31549246221707955,0.29412856703851853,0.3699851626227409,0.6511459909039302
5.700000000000001,0.17030597821140367,0.3248008139531527,0.30189619961649283,0.379085241904442,0.6689190089101746
5.800000000000001,0.1795025950116549,0.334185151806414,0.3097932071245052,0.38828753381646774,0.686899808572712
5.9,0.18867734372161635,0.34364726254998657,0.3178234037868949,0.3976052855509415,0.7050803102187753
6.0,0.19781369861276943,0.3531889329569937,0.3259906038280012,0.4070517442999861,0.7234520092141624
6.100000000000001,0.20689513395659573,0.36281194980055864,0.3342986214721635,0.41664015725572506,0.7420059946550437
6.200000000000001,0.21590549696159195,0.37251802090729275,0.34275116232336694,0.42638377161028107,0.7607333393704405
6.300000000000001,0.22484148003991533,0.3823061349207504,0.351349773621471,0.4362954609680716,0.7796251161893759
6.4,0.2337155642419155,0.39217193820992,0.36009401772290783,0.4463851320154064,0.7986723979408721
6.5,0.24254120010850466,0.40211087191369954,0.36898338313627527,0.4566612765976919,0.8178662574539516
6.600000000000001,0.2513318381805953,0.41211837717098687,0.3780173583701717,0.46713237784691847,0.837197767557637
6.700000000000001,0.2601009289990993,0.4221898951206795,0.3871954319331949,0.4778069188950762,0.8566580010809501
6.800000000000001,0.26886192310492923,0.4323208669016753,0.39651709233394306,0.48869338287415554,0.8762380308529135
6.9,0.27762827103899707,0.4425067336528722,0.4059818280810143,0.49980025291614694,0.8959289297025498
7.0,0.28641342334221537,0.45274293651316805,0.4155891276830066,0.5111360121530407,0.9157217704588814
7.100000000000001,0.2952308305554964,0.46302491662146084,0.4253384796485184,0.5227091437168274,0.9356076259509308
7.200000000000001,0.30409394321975214,0.47334811511664776,0.43522937248614735,0.5345281307394969,0.9555775690077201
7.300000000000001,0.31301621187589496,0.48370797313762715,0.4452612947044917,0.54660145635304,0.9756226724582716
7.4,0.32201108706483716,0.4940999318232966,0.4554337348121495,0.5589376036894468,0.9957340091316079
7.5,0.33109201932749105,0.5045194323125539,0.46574618131771894,0.5715450558807078,1.0159026518567515
7.600000000000001,0.34027245920476895,0.5149619157442973,0.4761981227297982,0.5844322960588134,1.0361196734627252
7.700000000000001,0.3495658572375829,0.525422823257424,0.48678904755698504,0.5976078073557539,1.05637614677855
7.800000000000001,0.3589856639668452,0.5358975959908321,0.49751844430787767,0.6110800729035195,1.0766631600245817
7.9,0.3685453299334683,0.5463816750834193,0.5083858014910743,0.6248575758341007,1.0969747949640036
8.0,0.3782583056783642,0.5568705016740835,0.5193906076151728,0.6389487992794879,1.1173116846519895
8.100000000000001,0.3881380417424455,0.5673595169017227,0.5305323511887717,0.6533622263716716,1.1376753291174952
8.2,0.3981977759592667,0.577844161905234,0.5418105207204685,0.6681063402426415,1.1580672283894766
8.3,0.4084434198064357,0.5883208132087276,0.5532246047188618,0.6831886366175213,1.1784888824968918
8.400000000000002,0.41887187959617667,0.5987909886231536,0.5647740961587325,0.6986087695412371,1.1989417914686955
8.5,0.4294795086846739,0.609257963067159,0.5764585843917281,0.7143626535790617,1.2194274553338436
8.600000000000001,0.44026266042811246,0.6197250129825106,0.588277751747669,0.7304461802663719,1.2399473741212945
8.7,0.45121768818267627,0.6301954148109742,0.6002312843425439,0.7468552411385423,1.2605030478600023
8.8,0.4623409453045505,0.6406724449943165,0.6123188682923424,0.7635857277309497,1.2810959765789254
8.900000000000002,0.4736287851499193,0.6511593799743033,0.6245401897130536,0.7806335315789692,1.301727660307019
9.0,0.48507756107496686,0.6616594961927007,0.6368949347206662,0.7979945442179758,1.3223995990732385
9.100000000000001,0.4966836264358784,0.6721760700912754,0.6493827894311701,0.8156646571833466,1.3431132929065424
9.2,0.5084433345888376,0.6827123781117928,0.6620034399605539,0.8336397620104558,1.363870241835885
9.3,0.5203530388900299,0.6932716966960201,0.6747565724248075,0.8519157502346804,1.3846719458902244
9.400000000000002,0.5324090926956395,0.7038573022857229,0.6876418729399197,0.8704885133913954,1.4055199050985163
9.5,0.54460784936185,0.714472471322667,0.7006590276218794,0.8893539430159757,1.426415619489716
9.600000000000001,0.5569456622448474,0.7251204802486195,0.7138077225866765,0.9085079306437986,1.4473605890927812
9.7,0.569418884700815,0.7358046055053459,0.7270876439502995,0.9279463678102383,1.468356313936667
9.8,0.5820238700859383,0.7465281235346131,0.7404984778287383,0.9476651460506718,1.4894042940503316
9.900000000000002,0.5947569717564011,0.7572943107781864,0.7540399103379819,0.967660156900474,1.51050602946273
10.0,0.6076145430683878,0.7681064436778324,0.7677116275940188,0.98792729189502,1.531663020202818
