AoA,M2.3_Cm-ALPHA,M1.0_Cm-ALPHA,M1.5_Cm-ALPHA,M0.6_Cm-ALPHA,M4.63_Cm-ALPHA
-8.0,,,,,
-7.9,,,,,
-7.8,,,,,
-7.7,,,,,
-7.6,,,,,
-7.5,,,,,
-7.4,,,,,
-7.3,,,,,
-7.2,,,,,
-7.1,,,,,
-7.0,,,,,
-6.9,,,,,
-6.8,,,,,
-6.7,,,,,
-6.6,,,,,
-6.5,,,,,
-6.4,,,,,
-6.3,,,,,
-6.2,,,,,
-6.1,,,,,
-6.0,,,,,
-5.9,,,,,
-5.8,,,,,
-5.699999999999999,,,,,
-5.6,,,,,
-5.5,,,,,
-5.4,,,,,
-5.3,,,,,
-5.199999999999999,,,,,
-5.1,,,,,
-5.0,,,,,
-4.9,,,,,
-4.8,,,,,
-4.699999999999999,,,,,
-4.6,,,,,
-4.5,,,,,-2.012654777647129
-4.4,,,,,-1.962237776028996
-4.3,-1.7950697525853607,,,,-1.9120637351682601
-4.199999999999999,-1.7570327793279708,,,,-1.862126997284208
-4.1,-1.7190073445459315,,,,-1.8124219045961258
-4.0,-1.6809806284171636,,-1.5524184633614808,,-1.762942799323299
-3.8999999999999995,-1.6429398111195865,,-1.5279071109596392,,-1.7136840236850124
-3.8,-1.6048720728311217,,-1.5017758624300903,,-1.6646399199005533
-3.7,-1.566764593729689,,-1.4740950265079373,,-1.6158048301892072
-3.5999999999999996,-1.528604553993208,,-1.4449349119282846,,-1.5671730967702597
-3.5,-1.4903791337996006,,-1.4143658274262363,,-1.518739061862997
-3.3999999999999995,-1.4520755133267855,,-1.382458081736896,,-1.4704970676867049
-3.3,-1.4136808727526844,,-1.3492819835953689,,-1.422441456460669
-3.1999999999999993,-1.3751823922552164,,-1.3149078417367577,,-1.3745665704041754
-3.0999999999999996,-1.336567252012303,,-1.279405964896167,,-1.3268667517365105
-3.0,-1.2978226322018644,-1.293396404742786,-1.2428466618087015,-1.3625950414506203,-1.2793363426769597
-2.8999999999999995,-1.2589357130018197,-1.2453964391078356,-1.2053002412094642,-1.3137742788315392,-1.2319696854448086
-2.8,-1.2198936745900908,-1.1980698519673958,-1.16683701183356,-1.2657082088220262,-1.184761122259344
-2.6999999999999993,-1.1806836971445966,-1.1513571494197157,-1.1275272824160922,-1.2183484539093288,-1.1377049953398501
-2.5999999999999996,-1.1412929608432592,-1.105198837563045,-1.0874413616921659,-1.1716466365806957,-1.0907956469056146
-2.5,-1.1017086458639973,-1.0595354224956333,-1.0466495583968844,-1.1255543793233755,-1.044027419175923
-2.3999999999999995,-1.0619179323847316,-1.0143074103157297,-1.0052221812653515,-1.0800233046246164,-0.9973946543700599
-2.3,-1.0219080005833834,-0.9694553071215842,-0.9632295390326723,-1.0350050349716668,-0.9508916947073129
-2.1999999999999993,-0.9816660306378716,-0.9249196190114458,-0.9207419404339497,-0.990451192851775,-0.9045128824069666
-2.0999999999999996,-0.9411792027261175,-0.8806408520835647,-0.8778296942042888,-0.94631340075219,-0.8582525596883077
-2.0,-0.9004346970260415,-0.8365595124361901,-0.8345631090787929,-0.9025432811601598,-0.812105068770622
-1.8999999999999995,-0.8594196937155633,-0.792616106167571,-0.7910124937925663,-0.8590924565629325,-0.7660647518731947
-1.7999999999999998,-0.8181213729726038,-0.748751139375958,-0.7472481570807135,-0.8159125494477575,-0.7201259512153126
-1.6999999999999993,-0.7765269149750827,-0.7049051181595996,-0.7033404076783377,-0.772955182301882,-0.6742830090162607
-1.5999999999999996,-0.7346234999009211,-0.6610185486167459,-0.6593595543205438,-0.7301719776125557,-0.6285302674953256
-1.5,-0.692398307928039,-0.6170319368456465,-0.6153759057424355,-0.6875145578670264,-0.5828620688717931
-1.3999999999999995,-0.6498385192343564,-0.5728857889445502,-0.5714597706791165,-0.644934545552542,-0.5372727553649487
-1.2999999999999998,-0.6069313139977944,-0.5285206110117073,-0.5276814578656915,-0.6023835631563519,-0.4917566691940787
-1.1999999999999993,-0.5636638723962725,-0.4838769091453668,-0.4841112760372641,-0.5598132331657039,-0.4463070903567941
-1.0999999999999996,-0.5200233746077116,-0.43889518944377875,-0.44081953392893886,-0.5171751780678467,-0.4009109433914571
-1.0,-0.4760027642537592,-0.3935159580051924,-0.3978765402758196,-0.4744210203500289,-0.35555279950295726
-0.8999999999999995,-0.43165361351821346,-0.3476797209278569,-0.3553515485846331,-0.4315023824994983,-0.31021722607488617
-0.7999999999999998,-0.38706168997255014,-0.3013269843100224,-0.31326729351894955,-0.388370887003504,-0.2648887904908365
-0.6999999999999993,-0.3423131881902623,-0.25439825424993767,-0.27158269260620116,-0.3449781563492938,-0.21955206013439987
-0.5999999999999996,-0.29749430274484423,-0.20683403684585322,-0.23025203971349512,-0.30127581302411677,-0.17419160238916892
-0.5,-0.25269122820978945,-0.15857483819601795,-0.18922962870793775,-0.2572154795152212,-0.12879198463873537
-0.39999999999999947,-0.20799015915859104,-0.10956116439868102,-0.14846975345663532,-0.21274877830985478,-0.08333777426669074
-0.2999999999999998,-0.16347729016474366,-0.05973352155209288,-0.10792670782669515,-0.16782733189526708,-0.03781353865662807
-0.1999999999999993,-0.11923881580174013,-0.009032415754502171,-0.06755478568522312,-0.12240276275870554,0.007793249130020282
-0.09999999999999964,-0.07536093064307497,0.0426016468958408,-0.027308280899326586,-0.07642669338741934,0.05347344732643059
0.0,0.0,0.0,0.0,0.0,0.0
0.09999999999999964,0.011076265858680916,0.14873972776753344,0.052991301137314706,0.017355375246091508,0.14497830650501578
0.20000000000000107,0.05372318884190303,0.20304048441905484,0.09313466119979907,0.0651496443483647,0.19076501151604905
0.3000000000000007,0.09609933651256831,0.2579838323709823,0.13332699589683245,0.11347195336545722,0.2365492628274797
0.40000000000000036,0.13828805300701194,0.3134356973274889,0.17360460950460888,0.1622621946246659,0.2823120824537374
0.5,0.18037268246156843,0.3692620049927468,0.21400380456427048,0.21146026045328672,0.32803449240925076
0.5999999999999996,0.22243656901257217,0.4253286810709281,0.2545608836169596,0.2610060431786158,0.3736975147084487
0.7000000000000011,0.2645630567963584,0.48150165126620587,0.29531214920381915,0.3108394351279499,0.41928217136576074
0.8000000000000007,0.30683548994926,0.5376468412827505,0.33629390386598984,0.3609003286285834,0.4647695233528286
0.9000000000000004,0.3493372126076123,0.5936301768247348,0.3775424501446145,0.41112861600781303,0.5101536009416233
1.0,0.3921515689077496,0.6493175835963312,0.4190940905808356,0.461464189592935,0.5554601212173158
1.0999999999999996,0.4353611605942053,0.7045749873017118,0.4609851277157952,0.5118469417112452,0.6007195501873065
1.200000000000001,0.47898913682270294,0.7592683136450494,0.503250633856198,0.5622167646900404,0.6459623538589963
1.3000000000000007,0.5229567142944697,0.8132634883305145,0.5458815345452682,0.6125135508566153,0.6912189982397838
1.4000000000000004,0.5671750893052558,0.8664264370622802,0.5888134488840394,0.6626771925382664,0.7365199493370708
1.5,0.611555458150811,0.9186230855445185,0.6319784982063004,0.7126475820622897,0.7818956731582568
1.6000000000000014,0.6560090171268855,0.9697193594814026,0.6753088038458414,0.7623646117559822,0.8273766357107434
1.700000000000001,0.7004469625292271,1.0195811845771026,0.7187364871364501,0.8117681739466384,0.8729933030019291
1.8000000000000007,0.7447804906535862,1.068074486535792,0.7621936694119165,0.8607981609615546,0.9187761342360824
1.9000000000000004,0.7889207977957122,1.1150651910616423,0.8056124720060298,0.9093944651280272,0.9647460212979156
2.0,0.8327790802513548,1.160419223858826,0.8489250162525795,0.957496980211044,1.010895252934932
2.1000000000000014,0.8762733975997251,1.2040367830923668,0.8920634234853554,1.0050610073802049,1.0572107956605352
2.200000000000001,0.9193883071764639,1.2459826469196769,0.9349611265077864,1.0520953097099244,1.1036796159881255
2.3000000000000007,0.9621456999695062,1.2863709357625646,0.9775843118864106,1.0986202382858101,1.1502886804311068
2.4000000000000004,1.0045678808820049,1.32531577933592,1.0199334268983133,1.1446561441934702,1.1970249555028813
2.5,1.0466771548171132,1.3629313073546343,1.0620105318708857,1.190223378518512,1.2438754077168521
2.6000000000000014,1.0884958266779847,1.3993316495335983,1.1038176871315188,1.2353422923465438,1.290827003586422
2.700000000000001,1.1300462013677712,1.4346309355877018,1.1453569530076029,1.2800332367631713,1.3378667096249925
2.8000000000000007,1.1713505837896259,1.4689432952318355,1.1866303898265298,1.324316562854003,1.384981492345967
2.9000000000000004,1.2124312788467027,1.5023828581808905,1.2276400579156892,1.3682126217046464,1.4321583182627475
3.0,1.2533105914421538,1.5350637541497567,1.2683880176024733,1.411741764400709,1.479384153888737
3.1000000000000014,1.2940108264791335,1.5671001128533264,1.3088763292142727,1.4549243420277984,1.526645965737339
3.200000000000001,1.334554288860793,1.598606064006488,1.349107053078478,1.4977807056715213,1.5739307203219544
3.3000000000000007,1.374963283490286,1.6296957373241332,1.38908224952248,1.5403312064174857,1.6212253841559863
3.4000000000000004,1.4152601152707662,1.660483262521153,1.42880397887367,1.582596195351299,1.6685169237528377
3.5,1.455467089105386,1.691082769312437,1.4682743014594388,1.6245960235585686,1.7157923056259108
3.6000000000000014,1.4956065098972993,1.721608387412877,1.5074952776071782,1.666351042124903,1.7630384962886094
3.700000000000001,1.5357006825496575,1.7521742465373622,1.5464689676442778,1.7078816021359078,1.810242462254334
3.8000000000000007,1.5757719119656146,1.7828944764007841,1.5851974318981286,1.7492080546771915,1.8573911700364885
3.9000000000000004,1.6158425030483237,1.8138832067180333,1.6236827306961223,1.7903507508343615,1.9044720176801277
4.0,1.6559347607009376,1.8452545672040006,1.6619269243656494,1.8313300416930254,1.9514893184844295
4.100000000000001,1.69607098982661,1.8771226140595065,1.6999320732341021,1.8721662193892206,1.9984694402845615
4.200000000000001,1.7362734953284928,1.9095679487966017,1.7377015349259208,1.9128783667206317,2.0454402330359467
4.300000000000001,1.7765649835046606,1.9425849057733962,1.775256572745621,1.953484433337374,2.0924295466940106
4.4,1.8169716956203317,1.9761541024369373,1.812631502158521,1.9940023251983778,2.1394652312141775
4.5,1.8575217107480106,2.0102561562342744,1.849860934703735,2.0344499482625733,2.186575136551873
4.600000000000001,1.898243123684158,2.044871684612457,1.8869794819203765,2.0748452084888918,2.2337871126625224
4.700000000000001,1.9391640292252317,2.079981305018532,1.9240217553475587,2.115206011836262,2.281129009501549
4.800000000000001,1.980312522167692,2.1155656348995477,1.9610223665243955,2.155550264263615,2.328628677024377
4.9,2.0217166973079985,2.1516052917025545,1.9980159269900009,2.1958958717298813,2.3763139651864336
5.0,2.063404649442611,2.1880808928745994,2.0350370482834887,2.2362607401939907,2.4242127239431412
5.100000000000001,2.105404473367989,2.224973055862733,2.0721203419439727,2.2766627756148745,2.4723528032499265
5.200000000000001,2.1477442638805915,2.262262398114001,2.109300419510567,2.3171198839514626,2.520762053062213
5.300000000000001,2.1904521157768775,2.2999295370754536,2.1466118925223836,2.357649971162685,2.5694683233354256
5.4,2.2335561238533073,2.3379550901941393,2.1840893725185375,2.398270943207472,2.618499464024989
5.5,2.2770843829063407,2.376319674917106,2.221767471038144,2.439000706044754,2.667883325086328
5.600000000000001,2.3210649877324374,2.4150039086914035,2.2596807996203148,2.4798571656334625,2.7176477564748684
5.700000000000001,2.3655260331280554,2.4539884089640793,2.297863969804163,2.5208582279325262,2.7678206081460335
5.800000000000001,2.4104956138896556,2.493253793182182,2.336351593128805,2.562021798900876,2.8184297300552483
5.9,2.456001824813697,2.53278067879276,2.3751782811333517,2.6033657844974423,2.8695029721579375
6.0,2.502072760696639,2.5725496832428627,2.4143786453569187,2.644908090681156,2.9210681844095268
6.100000000000001,2.5487365163349422,2.6125414239795393,2.45398729733862,2.6866666234109324,2.9731513132492626
6.200000000000001,2.596021186525064,2.6527368311233257,2.494038795610123,2.7286582352261863,3.0257474911961
6.300000000000001,2.6439548660634657,2.6931325809181796,2.534557389000378,2.770895594907593,3.0788268780297554
6.4,2.692565578515649,2.733748164675338,2.5755447638173816,2.813390332722928,3.132358914451869
6.5,2.7418772145727655,2.7746048613968353,2.616999620528445,2.856154078939966,3.186313041164084
6.600000000000001,2.7919073387471802,2.8157239500847058,2.6589206596008803,2.8991984638264836,3.2406586988680424
6.700000000000001,2.8426729805822393,2.857126709740983,2.7013065815019974,2.9425351176502548,3.295365328265384
6.800000000000001,2.894191169621293,2.898834419367701,2.744156086699109,2.986175670679055,3.3504023700577523
6.9,2.9464789354076886,2.9408683579668953,2.787467875659527,3.0301317531806595,3.4057392649467886
7.0,2.999553307484774,2.9832498045406,2.831240648850562,3.0744149954228446,3.461345453634134
7.100000000000001,3.0534313153958985,3.0260000380908507,2.8754731067395274,3.119037027673384,3.517190376821432
7.200000000000001,3.108129988684409,3.0691403376196793,2.920163949793733,3.164009480200054,3.5732434752103224
7.300000000000001,3.1636663568936534,3.1126919821291215,2.96531187848049,3.209343983270629,3.629474189502448
7.4,3.220057449566981,3.156676250621211,3.0109155932671117,3.255052167152885,3.6858519603994493
7.5,3.2773202962477392,3.2011144220979832,3.0569737946209083,3.301145662114597,3.74234622860297
7.600000000000001,3.3354719264792774,3.2460277755614726,3.103485183009193,3.347636098423541,3.7989264348146516
7.700000000000001,3.3945293698049412,3.291437590013712,3.150448458899276,3.39453510634749,3.855562019736134
7.800000000000001,3.4545096557680806,3.337365144456737,3.197862322758469,3.4418543161542208,3.9122224240690606
7.9,3.5154298139120437,3.3838317178925816,3.245725475054084,3.489605358111509,3.9688770885150726
8.0,3.5773068737801776,3.43085858932328,3.2940366162534316,3.53779986248713,4.025495453775812
8.100000000000001,3.6401578649158326,3.4784670377508675,3.342794446823826,3.5864494595488585,4.082047471549711
8.2,3.703999816862353,3.526678342177377,3.3919976672325753,3.63556542768674,4.138518914349113
8.3,3.768849759163092,3.575513781560499,3.4416449779469938,3.6851501298995832,4.194914032059477
8.400000000000002,3.834724720379791,3.6249897307486556,3.4917351105809096,3.735196531580302,4.251238120890967
8.5,3.901635262473047,3.6751041605220256,3.542267130206652,3.7856971497172545,4.307496477053757
8.600000000000001,3.9695700910925087,3.725850725221583,3.5932403041776118,3.836644501298802,4.363694396758015
8.7,4.038513298921227,3.777223079188294,3.644653902685398,3.8880311033133017,4.419837176213909
8.8,4.108448978642262,3.8292148767631318,3.6965071959216274,3.939849472749117,4.475930111631613
8.900000000000002,4.179361222938666,3.881819772287065,3.7487994540779104,3.9920921265946046,4.531978499221296
9.0,4.2512341244934895,3.935031420101062,3.801529947345859,4.044751581838122,4.587987635193123
9.100000000000001,4.324051775989794,3.9888434745460954,3.8546979459170885,4.097820355468035,4.643962815757269
9.2,4.397798270110629,4.043249589963132,3.9083027199832094,4.151290964472697,4.699909337123901
9.3,4.472457699539053,4.098243420693146,3.962343539735837,4.205155925840471,4.755832495503191
9.400000000000002,4.548014156958121,4.153818621077106,4.016819675366583,4.259407756559717,4.81173758710531
9.5,4.624451735050883,4.209968845455978,4.071730397067059,4.31403897361879,4.867629908140422
9.600000000000001,4.701754526500402,4.266687748170737,4.127074975028881,4.369042094006056,4.9235147548187035
9.7,4.7799066239897225,4.323968983562349,4.182852679443657,4.4244096347098685,4.979397423350319
9.8,4.858892120201909,4.381806205971788,4.239062780503005,4.480134112718592,5.035283209945442
9.900000000000002,4.9386951078200125,4.440193069740022,4.295704548398536,4.536208045020585,5.091177410814241
10.0,5.019299679527084,4.499123229208019,4.35277725332186,4.592623948604203,5.147085322166884
10.100000000000001,5.100689928006184,4.558590338716752,4.410280165464595,4.64937434045781,5.203012240213545
10.2,5.182849945940364,4.618588052607188,4.468212555018349,4.706451737569764,5.25896346116439
10.3,5.265763826012682,4.679110025220301,4.526573692174739,4.763848656928426,5.314944281229592
10.400000000000002,5.349415660906192,4.740149910897059,4.585362847125376,4.821557615522154,5.370959996619319
10.5,5.433789543303942,4.801701363978429,4.644579290061871,4.879571130339306,5.427015903543738
