Height [m],Temperature [K],Pressure [Pa],Velocity [m/s],Mach Number [-],Density [kg/m^3],Knudsen Number [-]
3763.0,263.70813,63665.020000000004,195.3268075999909,0.6,0.8407063,9.042324914201422e-08
6618.0,245.17917999999997,43444.020000000004,251.11960711829107,0.8,0.6167781999999999,1.2056433218935232e-07
7730.0,237.96229999999997,37124.2,278.3206503285728,0.9,0.543134,1.3563487371302135e-07
8229.0,234.72607999999997,34539.35,291.7783878730548,0.95,0.5123577,1.4317014447485585e-07
8699.0,231.68047999999996,32259.85,305.13608113143334,1.0,0.48476870000000005,1.5070541523669038e-07
10334.0,222.80911999999998,25538.748,359.0844262407505,1.2,0.39889083999999997,1.8084649828402845e-07
12185.0,220.36579999999998,20211.57,446.3876784999243,1.5,0.3179281,2.2605812285503557e-07
13411.0,218.74747999999997,16683.142,533.6946835136047,1.8,0.26430286,2.712697474260427e-07
14737.0,216.99715999999998,12866.913999999999,679.2094240507117,2.3,0.20630362,3.4662245504438784e-07
16634.0,216.64999999999998,9959.3292,873.4134990397956,2.96,0.160195148,4.460880291006035e-07
18544.0,216.64999999999998,7445.387199999999,1168.4856270937805,3.96,0.119745168,5.967934443372939e-07
19362.0,216.64999999999998,6368.735599999999,1366.1839528899507,4.63,0.102421564,6.977660725458765e-07
