Solver	Ma	AoA	CA_FINAL_COEFF_WINDOW	CN_FINAL_COEFF_WINDOW	CM_FINAL_COEFF_WINDOW
rhoPimpleFoam	0.6	0	0.223752116	-0.000950852	0.005511215
rhoPimpleFoam	0.6	8	0.314338851	0.243314593	3.326566514
rhoPimpleFoam	0.6	16	0.316033009	1.103903154	7.86048874
rhoPimpleFoam	1	0	0.35906785	0.00034322	-0.001724498
rhoPimpleFoam	1	8	0.4295203	0.293122854	3.552543765
rhoPimpleFoam	1	16	0.482074512	0.921043642	7.877750159
rhoPimpleFoam	1.5	0	0.297705766	-0.000207285	0.00365087
rhoPimpleFoam	1.5	8	0.413574341	0.399930111	3.503444444
rhoPimpleFoam	1.5	16	0.420477681	1.851551831	10.24842014
rhoPimpleFoam	2.3	0	0.222897808	0.002022367	-0.004329266
rhoPimpleFoam	2.3	8	0.334286568	0.569667506	4.164229137
rhoPimpleFoam	2.3	16	0.293062748	2.635629486	12.76285776
rhoPimpleFoam	4.63	0	0.204750424	-6.29E-05	0.001985207
rhoPimpleFoam	4.63	8	0.16536158	0.863456105	4.579140156
rhoPimpleFoam	4.63	16	0.307722273	2.792023535	11.33872618
rhoCentralFoam	0.6	0	0.271773846	-0.000841487	0.000504031
rhoCentralFoam	0.6	8	0.4849104	0.693342866	4.1468512
rhoCentralFoam	0.6	16	0.518363686	1.3573815	8.14375262
rhoCentralFoam	1	0	0.510856416	7.03E-05	0.000579247
rhoCentralFoam	1	8	0.575395324	0.51719315	3.5976844
rhoCentralFoam	1	16	0.55040291	1.0907453	7.81655488
rhoCentralFoam	1.5	0	0.481473978	8.58E-05	0.000680422
rhoCentralFoam	1.5	8	0.514282606	0.422685348	3.80044594
rhoCentralFoam	1.5	16	0.50903652	1.23892304	9.33238948
rhoCentralFoam	2.3	0	0.34541285	-2.33E-05	6.82E-05
rhoCentralFoam	2.3	8	0.367228412	0.51710889	4.30126042
rhoCentralFoam	2.3	16	0.368736912	2.52161654	12.957959
rhoCentralFoam	4.63	0	0.184810024	6.28E-05	0.000117303
rhoCentralFoam	4.63	8	0.170077548	0.829728624	4.64568026
rhoCentralFoam	4.63	16	0.20923701	2.7232115	11.154707
